repetition,hash_mode,interaction_records,comparison_records,total_records,audit_interaction_throughput,audit_comparison_throughput,ledger_records,ledger_blocks,ledger_throughput,verification_passed,verification_throughput,audit_records_size_mib,ledger_blocks_only_size_mib,ledger_plus_membership_size_mib,audit_wall_seconds,ledger_wall_seconds,verify_wall_seconds,total_wall_seconds,final_block_hash
1,sha256,100000,39258,139258,6458.910597122345,6397.308131109327,139258,140,207903.05720118398,True,127048.09376769335,56.01718807220459,0.07166862487792969,13.268342018127441,22.2243884,1.5022510000000011,1.4175560000000011,25.1441954,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
1,hmac-sha256,100000,39258,139258,5349.985312417823,5884.869979495595,139258,140,213233.30241819465,True,131319.77229280863,56.0604190826416,0.07166671752929688,13.275919914245605,25.941407799999997,1.512537899999998,1.3615656000000058,28.8155113,c0e239ac96ea7c43ae182d558a355e620d06b8fc08e217cc12c635b5c2935e8b
2,sha256,100000,39258,139258,6874.516197329468,6948.634900689638,139258,140,209629.10800524935,True,135130.25711409017,56.01718807220459,0.07166767120361328,13.268341064453125,20.77000410000001,1.4814381999999995,1.337909400000001,23.58935170000001,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
2,hmac-sha256,100000,39258,139258,5873.889944201746,4819.264862134442,139258,140,216613.62983767278,True,136810.04419815794,56.0604190826416,0.07167530059814453,13.275928497314453,25.8324121,1.4333576999999877,1.3138163999999932,28.57958619999998,c0e239ac96ea7c43ae182d558a355e620d06b8fc08e217cc12c635b5c2935e8b
3,sha256,100000,39258,139258,6613.574609233141,6727.294225302152,139258,140,214458.98763308782,True,138175.24496294587,56.01718807220459,0.07167243957519531,13.268345832824707,21.5367495,1.481584600000005,1.3047085000000038,24.323042600000008,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
3,hmac-sha256,100000,39258,139258,5805.226747512576,5472.73208242739,139258,140,210538.53798040657,True,139644.27001528928,56.0604190826416,0.07166481018066406,13.275918006896973,25.043394099999972,1.497400899999974,1.3020058999999833,27.84280089999993,c0e239ac96ea7c43ae182d558a355e620d06b8fc08e217cc12c635b5c2935e8b
4,sha256,100000,39258,139258,7157.539044822835,7305.002732258586,139258,140,202144.12883062894,True,140148.24971181943,56.01718807220459,0.07166576385498047,13.268339157104492,19.945286600000003,1.5089901999999995,1.294658300000009,22.74893510000001,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
4,hmac-sha256,100000,39258,139258,5705.967457110154,5585.902444599958,139258,140,203333.72221259354,True,136360.44953572546,56.0604190826416,0.07166576385498047,13.275918960571289,25.133394600000003,1.4991655000000037,1.3314173999999923,27.9639775,c0e239ac96ea7c43ae182d558a355e620d06b8fc08e217cc12c635b5c2935e8b
5,sha256,100000,39258,139258,6920.217100774076,7280.320663464978,139258,140,205354.60306313957,True,137446.64563582372,56.01718807220459,0.0716695785522461,13.268342971801758,20.458294300000006,1.4957339000000047,1.3090768999999796,23.26310509999999,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
5,hmac-sha256,100000,39258,139258,6477.982513191489,6047.606391496416,139258,140,199877.85545175898,True,133898.125005108,56.0604190826416,0.07167911529541016,13.275932312011719,22.464186499999983,1.545345900000001,1.3416968000000224,25.351229200000006,c0e239ac96ea7c43ae182d558a355e620d06b8fc08e217cc12c635b5c2935e8b
