repetition,interaction_load,comparison_records,total_audit_records,ledger_blocks,audit_interaction_throughput,audit_comparison_throughput,ledger_throughput,verification_throughput,verification_passed,audit_wall_seconds,ledger_wall_seconds,verification_wall_seconds,total_wall_seconds,final_block_hash
1,10000,39258,49258,50,4496.648131033406,8109.405962774444,107242.91353771421,136292.5267380493,True,7.610257600000001,0.947617600000001,0.6381832999999997,9.196104,935db5cc4441fbbc8ff8ed7436c68b8cb1e9b59345e65846df4c49ae0227c014
1,50000,39258,89258,90,8101.190085886711,7007.939528861463,155862.39797384822,130497.92961843047,True,12.378601999999999,1.1924314000000003,0.9963461000000002,14.5674057,5ba97a5258609346ea028f3be5551f2ebc494a739a4fd045d72cb406e3fccf30
1,100000,39258,139258,140,6978.687360968409,7211.747377658718,210275.24769907168,135151.68631470046,True,20.4073052,1.5255706999999958,1.3144971999999981,23.2474101,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
1,250000,39258,289258,290,6214.051015792899,6920.021086868479,294605.98239847965,142534.70198998562,True,46.528150100000005,2.3174949,2.3587054999999992,51.20438000000001,6489ad0657b65a55b5865fb404a2f3c039ebcd1d3bd4f091a3c09def048afdec
1,500000,39258,539258,540,6671.504601629603,7446.245742042151,198679.41035404825,104773.7007126954,True,80.7765376,5.180088799999993,5.725319799999994,91.68199539999999,d258d9d06025ed21fdc0825d1e13b622905a3dacb8c67aecee31357891ef47f1
2,10000,39258,49258,50,7794.8525755634955,10843.80539399353,111863.10270794187,139861.1326429149,True,5.455642599999976,0.9490452000000005,0.6192664999999806,7.023982499999988,935db5cc4441fbbc8ff8ed7436c68b8cb1e9b59345e65846df4c49ae0227c014
2,50000,39258,89258,90,8616.820554177715,7329.234328940247,153295.83117364452,133041.6268943877,True,11.713197000000008,1.2078417999999829,0.9537326999999891,13.874803499999985,5ba97a5258609346ea028f3be5551f2ebc494a739a4fd045d72cb406e3fccf30
2,100000,39258,139258,140,7288.748259456027,7320.173554009336,208478.985776936,135209.60800107502,True,19.630500900000015,1.4620215999999857,1.3154856999999822,22.40803840000001,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
2,250000,39258,289258,290,6669.97008051521,7338.420579654476,296796.45179779286,142087.39746903293,True,43.40419750000001,2.329072800000006,2.3967877000000044,48.13009189999997,6489ad0657b65a55b5865fb404a2f3c039ebcd1d3bd4f091a3c09def048afdec
2,500000,39258,539258,540,6705.173719417594,7570.255102825932,201143.58268240062,103737.07035431267,True,80.34536939999998,5.13679129999997,5.758288199999981,91.24048049999999,d258d9d06025ed21fdc0825d1e13b622905a3dacb8c67aecee31357891ef47f1
3,10000,39258,49258,50,7894.204398792787,12033.153609467923,115352.77580350357,136475.6327354224,True,5.039877900000022,0.9137364000000048,0.6439153000000033,6.597650699999974,935db5cc4441fbbc8ff8ed7436c68b8cb1e9b59345e65846df4c49ae0227c014
3,50000,39258,89258,90,8896.212409098945,7055.588251268372,163289.93228968862,133945.78210647742,True,11.731375599999978,1.1924173999999539,0.9512745000000109,13.875096000000042,5ba97a5258609346ea028f3be5551f2ebc494a739a4fd045d72cb406e3fccf30
3,100000,39258,139258,140,7688.69507021324,7442.305779430631,213470.18349256707,136711.46192752972,True,18.804628200000025,1.441814299999976,1.3265061000000173,21.57297669999997,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
3,250000,39258,289258,290,6729.765830449025,6839.33171481809,307041.0500141973,143790.78599213745,True,43.50042739999998,2.298034799999982,2.3343628999999737,48.132864100000006,6489ad0657b65a55b5865fb404a2f3c039ebcd1d3bd4f091a3c09def048afdec
3,500000,39258,539258,540,6505.106060706358,7411.293147189278,220997.93029338954,102604.66229049291,True,82.7453549,4.9069661999999425,5.853842900000018,93.5061925,d258d9d06025ed21fdc0825d1e13b622905a3dacb8c67aecee31357891ef47f1
4,10000,39258,49258,50,7848.58817633737,11771.493417747777,90219.20714134346,133812.5716663873,True,5.4505044999999654,1.3315153000000919,0.6643197999999302,7.446368499999949,935db5cc4441fbbc8ff8ed7436c68b8cb1e9b59345e65846df4c49ae0227c014
4,50000,39258,89258,90,8713.880854932791,7368.36743231896,165718.36603896754,128652.16897484726,True,11.599217299999964,1.16368389999991,0.9669927999999572,13.729921500000046,5ba97a5258609346ea028f3be5551f2ebc494a739a4fd045d72cb406e3fccf30
4,100000,39258,139258,140,7041.169032338688,6545.83478284996,208081.21589550545,136777.86174413824,True,20.784467300000074,1.4642417000000023,1.3171700999999985,23.565906799999993,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
4,250000,39258,289258,290,5743.4013986666505,6985.68457813773,298739.02054730576,142005.18440820798,True,49.76175269999999,2.302831000000083,2.3493252999999186,54.413938400000006,6489ad0657b65a55b5865fb404a2f3c039ebcd1d3bd4f091a3c09def048afdec
4,500000,39258,539258,540,6190.985176721127,6486.222526800515,200461.08525363592,101291.47770474757,True,87.46997550000003,5.207448100000079,5.936906700000009,98.614373,d258d9d06025ed21fdc0825d1e13b622905a3dacb8c67aecee31357891ef47f1
5,10000,39258,49258,50,8116.99380316225,11743.291609520147,112862.2088026474,135725.3860312352,True,5.1251647000000276,0.9224715999999944,0.6547463000000562,6.702442000000019,935db5cc4441fbbc8ff8ed7436c68b8cb1e9b59345e65846df4c49ae0227c014
5,50000,39258,89258,90,8771.68067805232,6815.990057800838,161753.86729253005,133812.28591016206,True,12.003467499999942,1.1661355999999614,0.9569503000000168,14.126590599999986,5ba97a5258609346ea028f3be5551f2ebc494a739a4fd045d72cb406e3fccf30
